Station_Name,Station,Start_Lat,Start_Lon,2021_q2_count,2021_q3_count,2021_q4_count,2022_q1_count,total_count
Vermont Pl & Vermont,4302,34.092491,-118.291443,131,144,123,165,563
Sunset & Virgil,4303,34.098011,-118.287071,124,120,119,129,492
Shatto Pl & Wilshire,4304,34.06258,-118.290092,305,334,273,280,"1,192"
8th & Vermont,4306,34.057652,-118.292183,212,151,143,87,593
7th & Berendo,4311,34.059689,-118.294662,160,161,159,133,613
Westlake/Macarthur Park Station,4313,34.056808,-118.275002,281,181,106,114,682
7th & Park View,4314,34.057709,-118.279762,107,86,168,197,558
Union & 7th,4315,34.054031,-118.27092,399,287,301,248,"1,235"
Row DTLA,4387,34.03352,-118.241837,122,131,138,163,554
Kenmore & 3rd,4390,34.069271,-118.296593,131,164,231,193,719
Vermont & Beverly,4401,34.075611,-118.291862,126,164,166,130,586
Albany & Olympic,4404,34.04813,-118.271027,186,182,121,106,595
Berendo & Olympic,4405,34.051899,-118.293678,78,88,114,70,350
Normandie & Hollywood,4406,34.101891,-118.300613,291,292,356,230,"1,169"
Kenmore & 6th,4410,34.063351,-118.296799,325,313,182,185,"1,005"
Lankershim & Vineland,4413,34.158321,-118.370811,9,0,0,0,9
Chandler & Colfax,4414,34.16835,-118.387497,19,1,0,0,20
Chandler & Laurel Canyon,4415,34.168331,-118.396156,41,6,5,0,52
Riverside & Colfax,4416,34.157581,-118.38826,27,0,0,0,27
Magnolia & Cartwright,4417,34.164951,-118.363632,74,7,6,0,87
Lankershim & Moorpark,4418,34.150688,-118.366127,8,0,0,0,8
Magnolia & Clybourn,4419,34.165218,-118.355148,47,8,0,0,55
North Hollywood Station,4420,34.168629,-118.377068,214,50,20,0,284
Riverside & Cahuenga,4422,34.152142,-118.361954,59,6,3,0,68
Mariota & Riverside,4425,34.152,-118.350601,31,5,2,0,38
Tujunga & Moorpark,4426,34.149872,-118.378891,21,5,5,0,31
Vineland & Otsego,4427,34.162861,-118.370201,18,5,0,0,23
Lankershim & Hesby,4428,34.161709,-118.372818,37,9,5,0,51
Chandler & Cahuenga,4429,34.168751,-118.36187,87,13,6,0,106
Vineland & Burbank,4430,34.172451,-118.370369,10,2,2,0,14
Lankershim & Califa,4431,34.17765,-118.382309,33,11,20,0,64
Public Bike Rack: Universal City/Studio City Red Line Station,4432,34.139568,-118.362251,3,1,1,0,5
Vermont & Franklin,4436,34.105782,-118.291939,68,88,104,70,330
Franklin & Hillhurst,4437,34.105358,-118.28727,114,123,127,106,470
Hoover & Fountain,4438,34.094929,-118.284561,75,58,78,71,282
Santa Monica & Virgil,4439,34.090969,-118.286247,76,57,65,52,250
Wilshire & Alexandria,4440,34.061661,-118.298241,201,160,145,231,737
University & 30th,4441,34.026619,-118.281807,178,159,108,80,525
Normandie & Sunset,4442,34.098,-118.300468,97,72,79,136,383
Figueroa & Jefferson,4443,34.022091,-118.279793,107,167,204,94,572
Wilshire & Hobart,4444,34.061619,-118.305573,179,170,166,191,706
Sunset & Douglas,4445,34.073639,-118.251572,148,136,137,96,517
James M. Wood & Alvarado,4446,34.05323,-118.278419,156,64,84,61,365
Rampart & Wilshire,4447,34.0616,-118.28199,263,212,195,148,818
23rd St & Flower,4448,34.03027,-118.273193,261,234,337,380,"1,212"
12th & Valencia,4449,34.04557,-118.274193,259,214,377,297,"1,147"
Virgil & 6th,4450,34.063492,-118.287163,106,110,133,161,510
Melbourne & Vermont,4451,34.10363,-118.291313,53,74,100,62,289
Hillhurst & Kingswell,4452,34.102329,-118.28746,80,50,71,74,275
Lucile & Hoover,4453,34.082649,-118.284393,84,70,58,76,288
Vermont & Exposition,4454,34.017899,-118.291718,336,275,208,166,985
Rowena & Hyperion,4455,34.10936,-118.271812,205,217,220,185,827
Ardmore & Olympic,4456,34.052429,-118.302017,261,219,141,125,746
Hollywood & Rodney,4457,34.100109,-118.289864,55,53,72,57,237
Tujunga & Hatteras,4463,34.175671,-118.378967,18,3,0,0,21
Santa Monica & Sunset,4472,34.092602,-118.28093,166,136,157,145,604
Vendome & Beverly,4473,34.07159,-118.282288,111,76,61,66,314
Ambrose & Hillhurst,4474,34.110031,-118.287163,130,112,140,108,490
San Pedro & Winston,4475,34.045181,-118.243248,318,243,264,227,"1,052"
Sunset & Silver Lake,4476,34.08252,-118.27272,276,188,195,151,810
Yucca & Argyle,4477,34.103851,-118.325462,0,4,63,118,185
Tracy & Hyperion,4478,34.10424,-118.273697,134,104,105,80,423
Ellendale Pl & Adams,4479,34.031502,-118.288742,253,210,285,130,878
Figueroa Plaza,4480,34.05896,-118.250587,71,78,111,69,329
Wilcox & Fountain,4482,34.094372,-118.331009,353,255,181,164,953
Glendale & Silver Lake,4483,34.1007,-118.259117,319,284,259,206,"1,068"
Vista Hermosa Park,4486,34.06126,-118.258598,300,232,341,208,"1,081"
Broxton & Weyburn,4487,34.062111,-118.446922,0,0,0,102,102
Figueroa & 4th,4490,34.053551,-118.255836,345,228,230,139,942
Main & Winston,4491,34.04744,-118.24794,643,649,791,639,"2,722"
Westwood/Rancho Park E Line Station,4492,34.036869,-118.425499,85,200,352,182,819
Sunset Triangle Plaza,4493,34.090279,-118.277191,232,171,135,237,775
Laveta Terrace & Sunset,4494,34.075981,-118.256012,165,149,190,160,664
Riverside & Laurel Canyon,4497,34.15749,-118.39576,32,2,0,0,34
Vineland & Oxnard,4498,34.17989,-118.370422,10,4,1,0,15
Victory & Colfax,4499,34.186569,-118.388008,16,19,0,0,35
Burbank & Cahuenga,4500,34.1721,-118.361816,39,1,0,0,40
North Hollywood Plaza,4502,34.16552,-118.375153,31,4,5,0,40
Western & Hollywood,4509,34.101639,-118.309174,289,274,370,262,"1,195"
Mohawk Bend,4510,34.077351,-118.264549,253,238,201,159,851
Union Station East Portal,4511,34.056278,-118.231773,194,226,133,89,642
Figueroa & 11th,4512,34.043812,-118.264969,281,257,408,410,"1,356"
Edgemont & Melrose,4513,34.08371,-118.296021,134,90,91,124,439
Sawtelle & Mississippi,4515,34.04031,-118.443062,0,0,0,11,11
7th & Hill,4516,34.045849,-118.254402,261,275,399,382,"1,317"
Highland & Hollywood,4517,34.101959,-118.338852,0,0,87,129,216
Normandie & 8th,4518,34.057968,-118.299751,273,211,271,213,968
Inglewood & Ballona,4521,33.990318,-118.412048,118,109,75,114,416
Western & 3rd,4523,34.068748,-118.30928,168,155,144,123,590
Wilshire & Normandie,4524,34.06163,-118.301193,182,226,231,182,821
